ID,Rep,Landmark,X,Y
Leaf_11b,2,15,12.628,21.28
Leaf_11a,2,1,13.224,16.823
Leaf_11a,2,2,12.642,22.535
Leaf_11a,2,3,12.575,22.423
Leaf_11a,2,4,12.678,22.507
Leaf_11a,2,5,12.678,22.002
Leaf_11a,2,6,10.944,21.786
Leaf_11a,2,7,14.502,22.218
Leaf_11a,2,8,11.135,20.511
Leaf_11a,2,9,14.501,20.836
Leaf_11a,2,10,11.832,22.02
Leaf_11a,2,11,13.557,22.391
Leaf_11a,2,12,12.293,21.838
Leaf_11a,2,13,13.015,22.016
Leaf_11a,2,14,12.2,21.622
Leaf_11a,2,15,13.152,21.782
Leaf_10c,2,1,12.633,16.817
Leaf_10c,2,2,12.778,22.273
Leaf_10c,2,3,12.695,22.161
Leaf_10c,2,4,12.854,22.265
Leaf_10c,2,5,12.76,21.414
Leaf_10c,2,6,10.966,21.485
Leaf_10c,2,7,14.679,21.355
Leaf_10c,2,8,11.161,20.388
Leaf_10c,2,9,14.397,20.358
Leaf_10c,2,10,11.959,21.897
Leaf_10c,2,11,13.802,22.005
Leaf_10c,2,12,12.369,21.566
Leaf_10c,2,13,13.065,21.907
Leaf_10c,2,14,12.196,21.178
Leaf_10c,2,15,13.189,21.585
Leaf_10b,2,1,13.046,17.093
Leaf_10b,2,2,13.18,23.817
Leaf_10b,2,3,13.055,23.614
Leaf_10b,2,4,13.434,23.391
Leaf_10b,2,5,13.062,22.317
Leaf_10b,2,6,10.472,22.399
Leaf_10b,2,7,16.143,22.225
Leaf_10b,2,8,10.823,20.752
Leaf_10b,2,9,15.496,20.792
Leaf_10b,2,10,11.936,23.02
Leaf_10b,2,11,14.735,23.109
Leaf_10b,2,12,12.282,22.343
Leaf_10b,2,13,13.804,22.599
Leaf_10b,2,14,11.975,21.459
Leaf_10b,2,15,14.161,21.882
Leaf_9a,2,1,12.154,17.021
Leaf_9a,2,2,12.263,22.024
Leaf_9a,2,3,11.873,21.804
Leaf_9a,2,4,12.379,22.001
Leaf_9a,2,5,12.089,20.972
Leaf_9a,2,6,9.996,20.87
Leaf_9a,2,7,14.35,21.063
Leaf_9a,2,8,10.543,19.63
Leaf_9a,2,9,13.712,19.358
Leaf_9a,2,10,11.048,21.726
Leaf_9a,2,11,13.367,21.756
Leaf_9a,2,12,11.409,21.295
Leaf_9a,2,13,12.639,21.633
Leaf_9a,2,14,11.256,20.912
Leaf_9a,2,15,12.929,21.25
Leaf_8c,2,1,12.687,18.786
Leaf_8c,2,2,12.769,24.562
Leaf_8c,2,3,12.442,23.763
Leaf_8c,2,4,13.003,24.105
Leaf_8c,2,5,12.769,23.129
Leaf_8c,2,6,10.855,23.017
Leaf_8c,2,7,14.568,23.265
Leaf_8c,2,8,11.283,21.682
Leaf_8c,2,9,14.282,22.237
Leaf_8c,2,10,11.869,23.655
